Article,Statut,Prix (€),Prix de vente initial (€),Frais de livraison (€),Suivi par (personnes),Vendus,Lien du produit
"ALCATEL PIXI UNITE (UNKNOWN CARRIER) CLEAN ESN, UNTESTED, PLEASE READ!! 59851",Professionnel,"16,05",N/A,"245,95",0,0,https://www.ebay.fr/itm/176300001293?itmmeta=01J0C5PH3RQZ0S6C82KN85MV1V&hash=item290c4c880d:g:WQsAAOSwLOJl~ccL
"LG OPTIMUS EXCEED 2 - (VERIZON PREPAID) CLEAN ESN, UNTESTED, PLEASE READ!! 39859",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/174567664344?itmmeta=01J0C5PH3RV8GQEKGCZR0SM9RF&hash=item28a50b2ad8:g:wNgAAOSwH9Jf4P~V
"Original Sony Xperia Z3v D6708 Quad-core CPU 5.2"" Cellphone 32GB 3G ROM 3GB RAM",Professionnel,"76,93","81,84",Livraison gratuite,0,0,https://www.ebay.fr/itm/195894574979?itmmeta=01J0C5PH3RBVHXHGE601NBTN3Q&hash=item2d9c39ff83:g:gMUAAOSwSlBYz~Ic&var=495726442510
Zte A003Zt Smartphone,Particulier,"135,74",N/A,"3,96",0,0,https://www.ebay.fr/itm/335435159678?itmmeta=01J0C5PH3R671HCS45D4EWDRDN&hash=item4e197e587e:g:FxAAAOSwHCFmZ-bz
LG G3 Mini Unlocked LG G3 Vigor D725 Quad-Core 1.2GHz 8GB LTE Android OS,Professionnel,"69,59","74,03",Livraison gratuite,0,0,https://www.ebay.fr/p/239113716?iid=194440578479&var=494554367755&rt=nc
Samsung Galaxy A12 A125U Single SIM AT&T T-Mobile Sprint Verizon Phone Android,Professionnel,"101,13","107,58",Livraison gratuite,0,0,https://www.ebay.fr/itm/266539893296?itmmeta=01J0C5PH3RNAGZTAV090QMA1KD&hash=item3e0f040230:g:VCgAAOSwz9FhuE9h&var=566313118556
HTC Desire 310 3G 5MP GPS WIFI 4.5'' TouchScreen Original Wi-Fi Unlocked GPS,Professionnel,"61,15","64,37",Livraison gratuite,0,0,https://www.ebay.fr/itm/274776814708?itmmeta=01J0C5PH3RWBRN9MK2FBAH1PZM&hash=item3ff9f97474:g:7jAAAOSwh9hZ90I7&var=575006218418
WP12 4/32GB 3G / LTE Blue Unlocked,Particulier,"163,49",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285871724289?itmmeta=01J0C5PH3R3PKP6SC93GWZ4BZP&hash=item428f485701:g:As0AAOSwK1xjoGuo
"LG VIPER (UNKNOWN CARRIER) CLEAN ESN, UNTESTED, PLEASE READ! 52889",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175447032183?itmmeta=01J0C5PH3RT936NFX8M49E02KB&hash=item28d9754177:g:CikAAOSwpFNjRwii
"N9150 Samsung Galaxy Note Edge SM-N9150 Android 4G LTE Wifi 16MP 5.6"" Phone 32GB",Professionnel,"96,76","102,94",Livraison gratuite,0,0,https://www.ebay.fr/itm/145508253861?itmmeta=01J0C5PH3RRQ0ENMM3EF3JG1RG&hash=item21e0f7c0a5:g:0UkAAOSwZf9bYygM&var=444654835565
"LG REVERE 3 (U.S. CELLULAR) CLEAN ESN, WORKS, PLEASE READ!! 58705",Professionnel,"9,68",N/A,"245,95",0,0,https://www.ebay.fr/itm/176114915549?itmmeta=01J0C5PH3SG15EN5YN3T0YF49H&hash=item29014458dd:g:S2MAAOSwz7llgbPC
Cellphone Sony Xperia C S39h C2305 C2304 Original 3G 4GB Unlocked Wifi 8.0MP,Professionnel,"70,76","75,27",Livraison gratuite,0,0,https://www.ebay.fr/itm/175816870278?itmmeta=01J0C5PH3SZKW2RNW0FY4WAJE3&hash=item28ef808986:g:7SAAAOSwPcVVpUFP&var=475219776836
"Huawei Y8s 6.5"" 48.0MP 4/128GB ROM CPU Octa-core Android CellPhone",Professionnel,"103,94","110,58",Livraison gratuite,0,0,https://www.ebay.fr/p/19065003635?iid=266079891048&var=565932394530&rt=nc
"Samsung Galaxy J7 (2016) J710F 2G RAM 16G ROM 13MP 4G LTE 5.5"" Smart Phone ",Professionnel,"76,93","81,84",Livraison gratuite,0,0,https://www.ebay.fr/itm/196182701525?itmmeta=01J0C5PH3S430J2PX4K291VA4Y&hash=item2dad6675d5:g:NVEAAOSwVF1aMpf6&var=496026015970
⚡️AT&T Prepaid Alcatel Insight 5005R 16GB 5MP/2MP 🆕 No Sim Card Included ⚠️,Particulier,"36,21",N/A,"20,39",0,0,https://www.ebay.fr/p/26036916453?iid=266039910585&rt=nc
"LG K7, 8GB (T-MOBILE) CLEAN ESN, WORKS, PLEASE READ!! 57985",Professionnel,"22,35",N/A,"245,95",0,0,https://www.ebay.fr/itm/176000547388?itmmeta=01J0C5PH3SYRQ45Y85VDEBEV66&hash=item28fa733a3c:g:BOYAAOSwaW5lQQ2x
X95 3/16GB 3G / LTE Black Unlocked,Particulier,"135,04",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285865511312?itmmeta=01J0C5PH3S59Q81S8MK3REZRET&hash=item428ee98990:g:cVAAAOSw531jZmlO
"Android Smart Phone Xiaomi Redmi 8 3/32GB 4/64GB 12MP 6.22"" 4G LTE Phone",Professionnel,"90,67  à 97,16",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/364463230672?itmmeta=01J0C5PH3S06DDCRS6D292WXA2&hash=item54dbb38ed0:g:8j0AAOSwIWFieS-g&var=633967999136
"ZTE LEVER (UNKNOWN CARRIER) CLEAN ESN, UNTESTED, PLEASE READ!! 59094",Professionnel,"20,82",N/A,"245,95",0,0,https://www.ebay.fr/itm/186254610969?itmmeta=01J0C5PH3SHAPBWFRKEHZWZM7G&hash=item2b5da3d219:g:PiwAAOSw9EZlpZ7Q
"LG VOLT 2 - (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 32330",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/174036509368?itmmeta=01J0C5PH3SPMFPHCCMNEBKEVY8&hash=item28856262b8:g:ayEAAOSwgq5dg9Tq
20i 4/128Gb 3G / GPS Red Unlocked,Particulier,"217,20",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285876812385?itmmeta=01J0C5PH3S5FVXB1FVKZAVCAVH&hash=item428f95fa61:g:rOUAAOSwnPxjovFd
SmartPhone Samsung Galaxy On5 2016 (J5 Prime) G5700 32GB 4G LTE Android Dual SIM,Professionnel,"83,97",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/404696308544?itmmeta=01J0C5PH3S51E9DWVYB50HCDPP&hash=item5e39c79b40:g:PRoAAOSwAOdbLKkd&var=674694164161
(Schwarz) Rino4 Pro Unlocked Handys 2 GB 32 GB Smartphone FACE ID,Professionnel,"50,15",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/315364986263?itmmeta=01J0C5PH3S54WCCC43Z2CJR59M&hash=item496d37cd97:g:qTQAAOSwzIdjZ8VY
S97 Pro 8/128GB 3G / LTE Red Unlocked,Particulier,"315,93",N/A,Livraison gratuite,0,0,https://www.ebay.fr/p/12050734136?iid=285879687343&rt=nc
Samsung Galaxy S21 Plus Case 6.7 inch Bumper Shockproof Protective Glitter Cover,Particulier,"25,56",N/A,"70,62",20,0,https://www.ebay.fr/itm/164902108887?itmmeta=01J0C5PH3S9DAAX2ZJ93W7SH9A&hash=item2664ee7ed7:g:wXgAAOSwOq9gvhUM
Smartphone Sony Xperia XA 16GB ROM 2GB RAM Single SIM F3111 13MP Dual SIM F3112 ,Professionnel,"75,27  à 78,75","80,07",Livraison gratuite,0,0,https://www.ebay.fr/itm/175956277020?itmmeta=01J0C5PH3SEM17VBMKFTQJEFGD&hash=item28f7cfb71c:g:hdUAAOSwXeVig2M6&var=475380290660
"KYOCERA HYDRO C5170 (BOOST MOBILE) WORKS, PLEASE READ! 52590",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175437340507?itmmeta=01J0C5PH3S3ZFT64Z9X2AS5SKD&hash=item28d8e15f5b:g:9lkAAOSwuGFjPG7i
Nokia 3585i Cellular Phone Instruction Manual Phone And Black Case Rare Vintage,Particulier,"11,13",N/A,"66,24",0,0,https://www.ebay.fr/itm/384738980460?itmmeta=01J0C5PH3SXKQA5GTJTMA1HF72&hash=item59943af26c:g:i40AAOSwbFdfXXht
"LG OPTIMUS L90 - (T-MOBILE) CLEAN ESN, WORKS, PLEASE READ!! 36585",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175800891896?itmmeta=01J0C5PH3SZPXHTXVWF1TPZ5S6&hash=item28ee8cb9f8:g:cMYAAOSw4Cde0VX1
"LG LUCID (VERIZON) CLEAN ESN, UNTESTED, PLEASE READ! 47430",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175201695624?itmmeta=01J0C5PH3SN2B797NDXCSEXZN4&hash=item28cad5b788:g:FVwAAOSwy8tiMJK~
"LG LUCID (VERIZON) CLEAN ESN, UNTESTED, PLEASE READ! 47432",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/185342476044?itmmeta=01J0C5PH3S9HCT7Y7AHH5JN70J&hash=item2b2745bf0c:g:MPsAAOSwT9hiMfWP
"Dual SIM Samsung Galaxy J2 J200GU 4G LTE 8GB ROM 1GB RAM Android Smartphone 4.7""",Professionnel,"66,14","69,62",Livraison gratuite,0,0,https://www.ebay.fr/itm/196144709703?itmmeta=01J0C5PH3SJ819QEXZ5CAHTN2V&hash=item2dab22c047:g:VUEAAOSwlhpc-TcC&var=495994839653
"HTC EVO 4G LTE (SPRINT) CLEAN ESN, WORKS, PLEASE READ!! 56928",Professionnel,"9,66",N/A,"245,95",0,0,https://www.ebay.fr/itm/175852626831?itmmeta=01J0C5PH3S37TCW2XG573AM0AW&hash=item28f1a2238f:g:M8AAAOSwmz1k0ok1
Nouvelle annonceSamsung Galaxy Z Fold4 - 512 GB - Beige (AT&T) (Single SIM) - Very Good,Professionnel,"557,02",N/A,"46,11",0,0,https://www.ebay.fr/p/4055648061?iid=166821285417&rt=nc
"SAMSUNG T139 (T-MOBILE) CLEAN ESN, WORKS, PLEASE READ!! 59579",Professionnel,"22,39",N/A,"245,95",0,0,https://www.ebay.fr/itm/176260382615?itmmeta=01J0C5PH3STE9J0TGNG0JQXGBY&hash=item2909efff97:g:qNYAAOSwjDZl3jzQ
LG LEON SMARTPHONE H340Y LGH340Y WIFI Android Original GPS 4G Cellphone,Professionnel,"66,22","70,45",Livraison gratuite,0,0,https://www.ebay.fr/itm/145315008322?itmmeta=01J0C5PH3S1N9PBRAC4PN7CAKV&hash=item21d5730f42:g:gYMAAOSwkZhWTTkl&var=444518886312
"Original HTC Raider 4G X710e G19 Unlocked Android 4G&3G 16GB 4.5"" GPS Wifi",Professionnel,"82,02  à 87,00","87,26",Livraison gratuite,0,0,https://www.ebay.fr/itm/174768646342?itmmeta=01J0C5PH3SR3FAH0F92VCD66YY&hash=item28b105e8c6:g:XKEAAOSwAKxWbj6B&var=473944031069
"Original Sony Xperia Z5 Dual E6633 E6683 ROM 32GB RAM 3GB 23MP 5.2"" Octa-core",Professionnel,"74,17","78,90",Livraison gratuite,0,0,https://www.ebay.fr/itm/175905980207?itmmeta=01J0C5PH3SAXRSY7MMHR793YPG&hash=item28f4d03f2f:g:z6QAAOSwcUBYVjwG&var=475327685773
Retro Md-02P Garaho,Particulier,"157,38",N/A,"3,96",0,0,https://www.ebay.fr/itm/235602936574?itmmeta=01J0C5PH3S4JGRDHMPX0T5RVEA&hash=item36db0782fe:g:gpIAAOSw50pmZ-dh
Samsung Galaxy J2 Duos with dual-SIM J200F J200G 4G 5MP Mobile Phone Android ,Professionnel,"65,75","69,21",Livraison gratuite,0,0,https://www.ebay.fr/itm/404636970251?itmmeta=01J0C5PH3SXE77B7P5BMYVNSRW&hash=item5e363e2d0b:g:v88AAOSwLQ5gf-23&var=674631024246
HTC ONE E8 Ace Single or Dual SIM 3G &4G Wifi GPS 13MP 16GB ROM 2GB RAM,Professionnel,"84,66","89,11",Livraison gratuite,0,0,https://www.ebay.fr/itm/234168811215?itmmeta=01J0C5PH3S9F4QEEKW4YGDC6T5&hash=item36858c7ecf:g:5-IAAOSwFGNWTCJU&var=533786400983
Original Cellphone Nokia 5233 Touchscreen Java WAP Video Unlocked Mobile Phone,Professionnel,"37,00",N/A,Livraison gratuite,0,0,https://www.ebay.fr/p/22065004324?iid=255544004663&var=555495725129&rt=nc
2018 DuoTrac Zen Bold 3 Golf Balls 1 Dozen White NEW,Professionnel,"30,63",N/A,"27,69",0,0,https://www.ebay.fr/itm/304077033869?itmmeta=01J0C5PH3SF300T3CG16PQWBE2&hash=item46cc67518d:g:vxQAAOSwckFg-d9~
Original Samsung Galaxy A01 A015T 4G Wifi 16GB ROM 2GB RAM 13MP Phone,Professionnel,"68,28","72,65",Livraison gratuite,0,0,https://www.ebay.fr/p/6039008882?iid=176022689143&var=475464649046&rt=nc
"Smartphone Doro 8050 16 Go 4G 13 mégapixels 5,7 pouces écran débloqué EN BOÎTE",Particulier,"112,60",N/A,"30,82",0,0,https://www.ebay.fr/itm/204257359542?itmmeta=01J0C5PH3T46FVJK41DWK9KZXR&hash=item2f8eaff6b6:g:6ckAAOSw3thj-5T~
Motorola REVVLRY+ XT1965-T T-Mobile Unlocked 64GB Black Excellent,"Free Shipping, Free 30 Day Returns","74,26",N/A,"29,22",0,0,https://www.ebay.fr/itm/186090601365?itmmeta=01J0C5PH3TQV4FRMDA72WQ2X88&hash=item2b53dd3b95:g:iJsAAOSwSvVmQo4c
Samsung Galaxy C7 C7000 32GB 64GB Octa-core 4G LTE Dual SIM CPU Android Phone,Professionnel,"98,48  à 104,98",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/196165882586?itmmeta=01J0C5PH3TTVR4CBKTN7A0FPAS&hash=item2dac65d2da:g:Q8YAAOSwJtdaL00I&var=496010206257
"SAMSUNG GALAXY A10E (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 60040",Professionnel,"43,16",N/A,"245,95",0,0,https://www.ebay.fr/itm/176321390390?itmmeta=01J0C5PH3TAY4PEJ1J4ZQXYWV4&hash=item290d92e736:g:uCUAAOSwHGZmEDx8
"Unlocked Original Samsung Galaxy Express 2 II G3815 LTE 4G8GB 5MP Android 4.5""",Professionnel,"61,48","65,40",Livraison gratuite,0,0,https://www.ebay.fr/itm/355260373479?itmmeta=01J0C5PH3T2TF1TKKEM8FDR304&hash=item52b72b19e7:g:c~AAAOSwj85YQZjP&var=624471356600
Motorola W385 Flip Phone,Professionnel,"9,75","13,93","275,31",0,0,https://www.ebay.fr/itm/204679987097?itmmeta=01J0C5PH3TTE623WBG3NAPKBPC&hash=item2fa7e0bf99:g:5c4AAOSw63Fl5ixc&amdata=enc%3AAQAJAAAA0Ayc9qCHeewTSRCKh0IgOWWIverQrgMm%2BRBhh17p9cC3TqHaoQPLq0yj69ZkAPJ6OrkEcMXGQ0PpolvuqzDVrzd%2FRcgXJ%2FjTWxK627t1sdYiLovlWHnirFl6axbCh43DTawTV01w42LwiqbVEQ%2FrA8pD%2FgH9uJ%2FOTwghdeY1GN70h7%2BNnVg2M54u7akHrGgBPWfk6j%2BleJMnQpFrAgtcpIcCkSPxd--VyWr0bKZE7w7xvykNNvqH0OTwmc3i4ZXJWXjzyMf1tjjM9%2FKCRTx6miE%3D%7Ctkp%3ABFBMgpLahYNk
Xiaomi Redmi Note 7 Pro 6+128GB 48MP Dual Sim Global version Phone New Sealed,Professionnel,"111,68",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/364906624055?itmmeta=01J0C5PH3TJ8DBD2YJVD42CJ5A&hash=item54f6213437:g:jXsAAOSwzyVmTEcs&amdata=enc%3AAQAJAAAA0E4tx6uKgVZUsJATRGRUYONX1VERIGmhoe4ZuqvqOpw6kUw0DbUXp8BAgwy6OJS7RBnwwC8vYdiFvj3giH%2BJDiz0NDOfOHSgrsCumMYu9iWk5Z7BQV80CJj2nBmhg2FuEht87AzmD0vzbq6HoqzsSxzUzZsgndehWANbvbPEotd6%2F1qJiSKVP3MGJUDuFgutqthxPKI6MN1hLKzcjlA0ZiKHrN%2B1wlkmCLzv8FJzQFmdwTIKbE6pHhAFlRxTh9nsu2D8wQyNLehbDTz8r09toog%3D%7Ctkp%3ABFBMgpLahYNk&var=634492492868
"SAMSUNG GALAXY A10E (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 60040",Professionnel,"43,16",N/A,"245,95",0,0,https://www.ebay.fr/itm/176321390390?itmmeta=01J0C5PRBK3KS62PRCDCKDHPXK&hash=item290d92e736:g:uCUAAOSwHGZmEDx8
"Unlocked Original Samsung Galaxy Express 2 II G3815 LTE 4G8GB 5MP Android 4.5""",Professionnel,"61,48","65,40",Livraison gratuite,0,0,https://www.ebay.fr/itm/355260373479?itmmeta=01J0C5PRBM7DQXXZK5FGZRER27&hash=item52b72b19e7:g:c~AAAOSwj85YQZjP&var=624471356600
"Sony Xperia X Performance Dual SIM F8132 Single SIM F8131 5"" Phone",Professionnel,"74,19  à 77,68","82,63",Livraison gratuite,0,0,https://www.ebay.fr/itm/175984856998?itmmeta=01J0C5PRBM9F8AGJPMQT0X78K6&hash=item28f983cfa6:g:KXcAAOSwnDRgh4Rc&var=475417604271
(3+3) for Motorola Moto G 5G and One 5G Ace/One 5G UW Ace (3 Pack) Tempered Gla,Professionnel,"13,98",N/A,"27,11",0,0,https://www.ebay.fr/itm/196438253728?itmmeta=01J0C5PRBMKE029VAVVB7FA11C&hash=item2dbca1e0a0:g:LHkAAOSwOHhmZ80j
"Samsung Galaxy A20e A202F/DS 5.8"" 4G LTE 3GB RAM 32GB ROM 13MP Smart Phone",Professionnel,"101,22","107,68",Livraison gratuite,0,0,https://www.ebay.fr/p/22041212855?iid=266537860984&var=566312189146&rt=nc
"LG STYLO 2 V (VERIZON) CLEAN ESN, WORKS, PLEASE READ!! 59522",Professionnel,"22,39",N/A,"245,95",0,0,https://www.ebay.fr/itm/176250929052?itmmeta=01J0C5PRBMPCVASG16WNXAF78E&hash=item29095fbf9c:g:Wy4AAOSwZNxl1lTI
Smartphone Samsung i607 BlackJack 3G 2.0+EDR (EDGE/GPRS - TRÈS BON ÉTAT (SGH-i607),Professionnel,"355,55",N/A,"111,72",0,0,https://www.ebay.fr/p/507780809?iid=225921487784&rt=nc
Dual SIM HTC U Ultra Ocean Note 4GB/64GB ROM Smartphone Blue Pink White Black,Professionnel,"106,17","112,95",Livraison gratuite,0,0,https://www.ebay.fr/p/232797340?iid=145408663043&var=444593022415&rt=nc
Motorola Moto G Stylus 5G - Cosmic Emerald - T-Mobile - For Parts - !READ!,Professionnel,"27,84",N/A,"36,69",0,0,https://www.ebay.fr/itm/355668142878?itmmeta=01J0C5PRBMTCK2VSZ9BQJ8Q74D&hash=item52cf792b1e:g:BX0AAOSwk7ZmK5WP
N40 Pro 6/128GB 3G / LTE Black Unlocked,Particulier,"231,02",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285869970249?itmmeta=01J0C5PRBMCYX93T9R2K92T5K8&hash=item428f2d9349:g:cq4AAOSw4bxjgfNV
"KYOCERA DURATR (SPRINT) CLEAN ESN, WORKS, PLEASE READ! 47036",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175183668361?itmmeta=01J0C5PRBMAWPPS07MXYD3N4E9&hash=item28c9c2a489:g:ySoAAOSwYUliH-kF
"LG X power 3 X510 X510K X510WM Original Single SIM 16GB 2GB RAM Smartphone 5.5""",Professionnel,"79,33",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/404488993089?itmmeta=01J0C5PRBMJKJ3Z3BFJZVH76DC&hash=item5e2d6c3941:g:ZAwAAOSwEMBgfu2E
"Original 7100S Nokia 7100 Supernova Bluetooth 2G GSM 900 1800 Slide Phone 2""",Professionnel,"46,93",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/354978821246?itmmeta=01J0C5PRBM7046MG452863WHEG&hash=item52a662f47e:g:GzEAAOSwfe9gb~BV&var=624260969477
POCO M4 5G FACTORY UNLOCKED DUAL SIM 64GB ROM 4GB RAM GLOBAL,Professionnel,"240,36",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/175272784831?itmmeta=01J0C5PRBMB8WANRN5546P4RXS&hash=item28cf1273bf:g:qd4AAOSw3~did2Th
Samsung Galaxy A8 (2018) Duos with dual-SIM A530F/DS Android 4GB 32GB ROM,Professionnel,"100,34",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/196165889863?itmmeta=01J0C5PRBMRE60AGA3G779YQJ8&hash=item2dac65ef47:g:oyEAAOSwOtRgeDDM&var=496010187576
G22 4/64GB 3G / LTE / GPS Black Unlocked,Particulier,"177,72",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285871724263?itmmeta=01J0C5PRBMXJB3GD2XX3MCYYE6&hash=item428f4856e7:g:-b8AAOSwIfRjTBE0
S35T 3/64GB 3G / LTE Orange Unlocked,Particulier,"147,79",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285863826914?itmmeta=01J0C5PRBMQQYT927F5BZ99AZ8&hash=item428ecfd5e2:g:9dUAAOSwNOtjg1sl
Cheap X2 Nokia X2-00 FM JAVA 5MP Original Cellphone 2.2 in Bluetooth Unlocked,Professionnel,"34,36",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/325777966672?itmmeta=01J0C5PRBMSDQTQ1T8KE3W19CS&hash=item4bd9e14650:g:5dgAAOSwq19XCTaF&var=514788052837
CELLULARE ERICSSON R600 GSM UNLOCKED DEBLOQUE SIM FREE,Particulier,"39,99",N/A,"14,99",0,0,https://www.ebay.fr/itm/266652294822?itmmeta=01J0C5PRBMJ8JKJ2EZG3WRPP2V&hash=item3e15b71ea6:g:-rQAAOSwInleoreE
CELLULARE SAMSUNG GT S523OW GSM UNLOCKED SIM FREE DEBLOQUE,Particulier,"99,99",N/A,"14,99",0,0,https://www.ebay.fr/itm/266652294760?itmmeta=01J0C5PRBMAY0577312APBCBV6&hash=item3e15b71e68:g:aVcAAOSw-clkBHAe
10 Lite 4/64Gb 3G / GPS Black Unlocked,Particulier,"197,46",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285879687329?itmmeta=01J0C5PRBMZ9MC567KPTCB4M11&hash=item428fc1d8a1:g:reoAAOSwhE5joeMY
"Sony Xperia XA2 Dual SIM H4113 4G LTE Wifi Smartphone 32GB 3GB RAM 5.2""",Professionnel,"103,80","110,43",Livraison gratuite,0,0,https://www.ebay.fr/itm/186083262991?itmmeta=01J0C5PRBMMBKGDF98VHBSWE46&hash=item2b536d420f:g:Hs8AAOSwc2NgGo8J&var=694099570569
Alcatel 1X 2019 4G DUAL SIM 16 Go ROM + 1 Go noir OEM DÉBLOQUÉ EN USINE,Professionnel,"224,00",N/A,"34,37",0,0,https://www.ebay.fr/itm/126099560748?itmmeta=01J0C5PRBMJQQKXNKQZZ20TJJE&hash=item1d5c1e992c:g:HLQAAOSwFQNlCFlT
Dual SIM Samsung Galaxy On5 2016 (J5 Prime) G5700 32GB SmartPhone 4G LTE Android,Professionnel,"79,89","84,09",Livraison gratuite,0,0,https://www.ebay.fr/itm/276300400130?itmmeta=01J0C5PRBMXSMJDH9C0QYJH220&hash=item4054c98602:g:PRoAAOSwAOdbLKkd&var=578716374801
"Nouvelle annonceSmartphone Poco F5 6,67`` 256 Gb Black NEU",Professionnel,"449,90",N/A,"2,99",0,0,https://www.ebay.fr/p/8060704289?iid=305619709866&rt=nc
Nokia 3410 Cellulare Telefono Sbloccato Originale Custodia Adattatore,Professionnel,"23,53",N/A,"15,04",0,0,https://www.ebay.fr/itm/232627676172?itmmeta=01J0C5PRBM55C0ZGG44DWQWEHG&hash=item3629b0a40c:g:KzsAAMXQTgZQ~Y4V
Samsung Galaxy C7 Pro C7010 4GB RAM 64GB ROM Phone Unlocked Android Original,Professionnel,"93,80","98,74",Livraison gratuite,0,0,https://www.ebay.fr/itm/196199965629?itmmeta=01J0C5PRBMYFKGN1PT02JG9BDT&hash=item2dae6de3bd:g:DwsAAOSwcYNhgOr0&var=496044654751
guarnizione testa racing per Ford Focus II Fiesta V Ranger 2.0 2.3 Duratec 2000,Professionnel,"135,00  à 155,00",N/A,"60,00",0,0,https://www.ebay.fr/itm/155902802418?itmmeta=01J0C5PRBMBPJ97RSZMHHH4JYD&hash=item244c87f9f2:g:kE8AAOSwKSVisx-c&var=456295315126
Motorola 120t Cingular Bar Type Cell phone Vintage With Accessories.  Untested,Particulier,"18,10",N/A,"93,15",0,0,https://www.ebay.fr/itm/186259374591?itmmeta=01J0C5PRBM7B43YYFQY0TVBQJD&hash=item2b5dec81ff:g:IaYAAOSwkDBlqd-8
"Unlocked LG Nexus 5X H790 16GB&32GB 4G LTE (US Warranty GSM +CDMA) Android 5.2""",Professionnel,"67,59  à 71,95","71,90",Livraison gratuite,0,0,https://www.ebay.fr/itm/354940136815?itmmeta=01J0C5PRBMCQNC9GZQV49P7HYF&hash=item52a414ad6f:g:BVEAAOSwfRdZGbLN&var=624229573992
Samsung Galaxy J7 V J727V (Verizon) J727T J727P J727A 16GB ROM 2GB RAM Phone,Professionnel,"79,72","83,92",Livraison gratuite,0,0,https://www.ebay.fr/itm/404932169084?itmmeta=01J0C5PRBMMT5SERV7WNYQCKRZ&hash=item5e47d68d7c:g:jEwAAOSwPYpiqEwg&var=674970199274
"Samsung Galaxy J3 (2016) J320F 8MP Single SIM Android Unlocked Phone 5.0""",Professionnel,"55,19",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/404640970243?itmmeta=01J0C5PRBM9VFYH3PSJ2TERJ19&hash=item5e367b3603:g:eBMAAOSwyDpgf9zG&var=674636022730
2 (LE7n) 4/64GB 3G / LTE / GPS Blue Unlocked,Particulier,"177,72",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285865511287?itmmeta=01J0C5PRBMEXQY08GX49V199Z7&hash=item428ee98977:g:IL0AAOSwBwVjle0c
"SAMSUNG INSTINCT, (SPRINT), CLEAN ESN, UNTESTED, PLEASE READ!! 42908",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/184972588994?itmmeta=01J0C5PRBMWTBN3XH3Z6G2NSER&hash=item2b1139b7c2:g:YSgAAOSwehphBEMC
Samsung S5510 S5510T 3G UMTS 2100 Bluetooth Radio Original Flip Phone,Professionnel,"60,95","64,16",Livraison gratuite,0,0,https://www.ebay.fr/itm/403138275405?itmmeta=01J0C5PRBMPCB5VBAWV3PG2YDK&hash=item5ddce9e84d:g:mzYAAOSwqK9hNcLM&var=673261323965
Cellphone Samsung Xcover 271 B2710 Keyboard 3G UMTS 900 / 2100 2.0MP Camera,Professionnel,"54,46",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/404737839820?itmmeta=01J0C5PRBMF4ZXH0DQT1WVZZF7&hash=item5e3c4152cc:g:yRgAAOSw849jYSny&var=674739966524
"DORO PHONE EASY (CONSUMER CELLULAR) CLEAN ESN, UNTESTED, PLEASE READ!! 56745",Professionnel,"8,99",N/A,"245,95",0,0,https://www.ebay.fr/itm/175829244928?itmmeta=01J0C5PRBMPZ4VDDZTXBSYTEFM&hash=item28f03d5c00:g:pykAAOSwGzRkuu7v
"LG Stylo 5 Case Kickstand Hybrid Dual Layer Bumper Heavy Duty Cover-Red 6.2""",Particulier,"19,10",N/A,"27,28",0,0,https://www.ebay.fr/itm/373187107269?itmmeta=01J0C5PRBMAYH1CWKCEWC4RQQS&hash=item56e3af59c5:g:taoAAOSw9OFiWe~j
